Policy Number,Policy Create Date,Policy Expiration Date,Annual Premium,Excess
21868593,2018-12-17,2019-12-17,1124.38,850
75740424,2016-12-31,2017-12-31,1028.46,850
30308357,2017-08-20,2018-08-20,1247.71,500
47830476,2015-11-02,2016-11-01,1561.41,500
19269962,2019-07-11,2020-07-10,1206.46,250
21831191,2015-07-01,2016-06-30,895.83,500
18401412,2018-10-06,2019-10-06,920.81,500
73486606,2015-08-26,2016-08-25,840.95,500
32813689,2019-02-09,2020-02-09,1415.01,500
33507197,2016-03-28,2017-03-28,1331.72,1000
99103685,2018-12-18,2019-12-18,1459.5,250
51583214,2018-02-26,2019-02-26,1737.66,375
35875366,2019-05-08,2020-05-07,1401.69,500
21240703,2017-04-02,2018-04-02,1487.56,1100
18288638,2016-01-05,2017-01-04,920.55,250
63240241,2019-07-03,2020-07-02,1546.64,500
1407979,2017-03-28,2018-03-28,1779.94,1000
63916778,2017-12-24,2018-12-24,1454.83,375
17004138,2017-09-21,2018-09-21,1351.41,750
9667764,2015-06-28,2016-06-27,1338.54,850
75584003,2019-06-08,2020-06-07,1289.49,750
90012444,2016-10-18,2017-10-18,1245.01,750
10665308,2015-06-11,2016-06-10,1218.56,375
35597589,2016-01-16,2017-01-15,873.17,375
1924109,2019-03-14,2020-03-13,1754.86,1000
12871942,2015-04-18,2016-04-17,1399.26,850
32155446,2018-08-23,2019-08-23,1616.58,1000
35876516,2016-10-24,2017-10-24,1290.47,1100
13265356,2015-11-28,2016-11-27,1108.97,250
80379865,2018-05-21,2019-05-21,1734.09,1250
64899302,2019-12-28,2020-12-27,1129.73,500
11278282,2015-03-24,2016-03-23,1005.47,500
90425966,2017-05-11,2018-05-11,1523.21,1100
70459181,2017-07-14,2018-07-14,1442.3,500
91546921,2017-03-29,2018-03-29,1529.93,1100
26489135,2015-09-10,2016-09-09,1022.46,500
76422302,2019-09-24,2020-09-23,1769.54,850
27205554,2018-02-01,2019-02-01,1472.77,750
60225946,2017-09-05,2018-09-05,1633.25,750
34790013,2017-10-27,2018-10-27,1388.62,1000
53333796,2017-02-13,2018-02-13,1171.9,750
28307541,2015-04-22,2016-04-21,1333.35,500
85536059,2015-03-11,2016-03-10,1155.53,375
54642094,2015-03-27,2016-03-26,885.08,375
47091036,2016-12-22,2017-12-22,1794.64,1100
48277275,2017-02-08,2018-02-08,1283.27,750
75252854,2018-03-15,2019-03-15,1471.44,375
31012778,2018-11-09,2019-11-09,1615.14,250
84571128,2015-03-13,2016-03-12,1352.83,750
38286862,2017-03-29,2018-03-29,1281.4,500
1163515,2015-03-04,2016-03-03,1896.91,850
18361978,2017-09-05,2018-09-05,1284.08,750
94953428,2015-09-01,2016-08-31,1366.9,250
42333031,2017-04-15,2018-04-15,1207.77,750
91786228,2019-10-07,2020-10-06,1298.23,850
61051505,2017-09-02,2018-09-02,1064.85,850
8132649,2019-05-09,2020-05-08,1515.94,1100
49428676,2019-06-05,2020-06-04,1325.35,1100
77436411,2016-06-07,2017-06-07,888.02,375
44319192,2017-01-08,2018-01-08,1546.83,1100
57510487,2018-08-13,2019-08-13,1315.68,1250
62797342,2015-02-21,2016-02-21,1275.39,500
56923917,2015-09-23,2016-09-22,1055.6,500
83088652,2018-03-03,2019-03-03,989.24,500
53087364,2015-12-21,2016-12-20,1310.76,1100
9089663,2016-04-07,2017-04-07,1530.79,500
83290720,2016-05-06,2017-05-06,758.64,500
78364565,2019-01-01,2020-01-01,1270.21,500
99761663,2018-02-18,2019-02-18,1248.05,1000
6298259,2019-07-01,2020-06-30,1315.4,375
51936868,2016-02-17,2017-02-16,1390.56,1100
35907845,2017-09-07,2018-09-07,1814.66,1000
17390816,2018-08-14,2019-08-14,1008.38,750
9908654,2016-11-15,2017-11-15,835.82,500
47228798,2019-01-07,2020-01-07,1673.24,500
11593991,2018-10-01,2019-10-01,912.3,500
15036122,2016-05-04,2017-05-04,1242.04,750
59046302,2016-11-14,2017-11-14,1329.08,1250
74058124,2019-07-20,2020-07-19,1153.5,850
95221640,2019-02-27,2020-02-27,1450.92,750
5956033,2017-02-13,2018-02-13,1418.35,500
91462331,2017-03-24,2018-03-24,1140.1100000000001,500
7946799,2019-10-28,2020-10-27,1222.09,500
83884401,2017-09-22,2018-09-22,1273.89,500
36498462,2018-01-16,2019-01-16,1416.08,375
88191021,2016-10-09,2017-10-09,1167.42,1000
88567908,2015-07-16,2016-07-15,1389.86,750
72896975,2018-01-08,2019-01-08,1006.77,850
85650096,2015-06-19,2016-06-18,1340.56,250
51349085,2016-12-11,2017-12-11,997.75,500
90202451,2019-12-15,2020-12-14,1427.68,500
55180831,2018-01-28,2019-01-28,973.8,500
14433043,2018-12-09,2019-12-09,1434.51,850
56590042,2016-02-22,2017-02-21,1130.13,250
43870673,2015-08-20,2016-08-19,830.31,250
84734050,2017-07-29,2018-07-29,1460.8,500
73246256,2018-01-23,2019-01-23,770.76,375
2632562,2019-02-11,2020-02-11,1641.65,500
74125758,2017-07-25,2018-07-25,1427.25,1100
92752865,2015-12-17,2016-12-16,1054.83,500
47086007,2018-07-13,2019-07-13,916.13,500
33987747,2017-08-17,2018-08-17,1636.04,1100
37312925,2018-11-14,2019-11-14,1058.21,250
13233814,2017-07-18,2018-07-18,1338.51,750
32561536,2016-03-10,2017-03-10,1336.44,1250
73456835,2016-02-06,2017-02-05,1073.1100000000001,250
84767457,2018-10-28,2019-10-28,1394.43,1100
31901720,2016-12-14,2017-12-14,1273.39,250
67885239,2017-11-10,2018-11-10,1272.95,1100
94448966,2018-06-12,2019-06-12,1101.51,250
94633091,2019-11-27,2020-11-26,1699.3,1000
90116906,2016-03-22,2017-03-22,1532.14,500
82832313,2019-06-20,2020-06-19,1464.9,1000
87993949,2015-08-01,2016-07-31,1616.26,850
61810954,2015-06-06,2016-06-05,1125.37,500
55782839,2017-12-09,2018-12-09,1066.13,375
39587790,2017-07-14,2018-07-14,1737.96,1100
14293434,2017-03-24,2018-03-24,973.17,250
46620413,2015-06-04,2016-06-03,1567.37,750
53798973,2015-10-08,2016-10-07,1164.97,250
15556454,2015-06-19,2016-06-18,1021.9,1000
61497833,2015-09-22,2016-09-21,1285.09,1000
92889077,2017-10-11,2018-10-11,1156.77,250
19171044,2015-11-22,2016-11-21,1486.04,500
93291407,2015-01-02,2016-01-02,1231.98,1100
96710523,2019-07-15,2020-07-14,1501.97,850
52542420,2017-03-02,2018-03-02,1977.38,250
37741743,2018-07-30,2019-07-30,1254.18,850
48145469,2015-11-14,2016-11-13,1096.39,1000
25709472,2016-11-18,2017-11-18,1427.94,750
58402401,2016-09-09,2017-09-09,1169.29,250
23092790,2018-04-23,2019-04-23,1459.99,500
62476442,2019-04-29,2020-04-28,1571.51,1000
39943087,2019-01-17,2020-01-17,1585.2,375
41265642,2017-12-26,2018-12-26,1200.76,250
73383008,2017-12-18,2018-12-18,1118.46,750
77896466,2017-12-23,2018-12-23,1192.25,250
83526368,2019-10-30,2020-10-29,1055.46,750
31439710,2018-03-13,2019-03-13,1558.29,1250
30227653,2019-05-13,2020-05-12,1405.14,1000
86993944,2019-02-17,2020-02-17,1739.94,850
65728108,2018-06-27,2019-06-27,1319.97,750
45539668,2018-08-06,2019-08-06,974.16,500
3159546,2017-10-30,2018-10-30,1706.31,1000
88449349,2018-03-29,2019-03-29,1694.09,1100
35937389,2016-10-24,2017-10-24,1015.21,500
19441247,2016-02-03,2017-02-02,1735.69,1100
7208859,2017-12-10,2018-12-10,1251.51,375
65950591,2015-08-28,2016-08-27,1119.29,1100
2327487,2015-10-09,2016-10-08,1178.61,850
30722342,2018-07-02,2019-07-02,1338.5,1250
31289360,2019-01-05,2020-01-05,1667.25,850
24826170,2015-09-22,2016-09-21,1354.83,375
14860484,2017-06-07,2018-06-07,1417.4,1250
39642700,2016-03-17,2017-03-17,1417.68,375
3689105,2016-01-03,2017-01-02,1383.97,1100
58850120,2018-08-28,2019-08-28,1564.43,1100
76965994,2016-11-10,2017-11-10,1928.44,375
14490971,2018-09-04,2019-09-04,1585.54,250
88277241,2018-09-12,2019-09-12,1074.99,500
87386746,2018-08-15,2019-08-15,1297.75,750
55157616,2016-10-12,2017-10-12,1001.46,375
55593844,2016-04-06,2017-04-06,986.61,500
72556809,2018-11-22,2019-11-22,1253.12,375
45653187,2018-11-15,2019-11-15,1236.5,750
48538925,2017-12-06,2018-12-06,1671.55,1000
68724425,2017-06-06,2018-06-06,1062.29,500
50817031,2018-10-30,2019-10-30,1133.85,850
16836323,2016-07-17,2017-07-17,878.42,750
72701589,2015-11-10,2016-11-09,1472.43,1000
88126167,2019-11-26,2020-11-25,1614.8,1100
50642114,2018-08-27,2019-08-27,1111.17,500
32180678,2019-06-17,2020-06-16,1510.44,500
74155265,2018-08-08,2019-08-08,1413.14,750
26168099,2019-06-04,2020-06-03,1535.72,500
804961,2019-08-03,2020-08-02,1512.18,1100
25823839,2015-12-09,2016-12-08,1415.74,1250
61745840,2016-03-22,2017-03-22,1509.96,1000
86024944,2017-09-09,2018-09-09,1444.04,250
40080423,2015-07-19,2016-07-18,1457.21,500
14275512,2019-05-31,2020-05-30,1406.75,1100
70442756,2016-03-29,2017-03-29,1284.69,750
36829984,2019-10-07,2020-10-06,1526.8,1250
68772500,2018-08-09,2019-08-09,1135.43,375
154557,2017-05-24,2018-05-24,1562.76,1100
97640137,2016-08-17,2017-08-17,1376.44,500
49270602,2018-01-10,2019-01-10,806.31,500
25021031,2015-08-06,2016-08-05,1453.95,1100
2590748,2016-11-10,2017-11-10,1311.28,1100
98905793,2019-06-22,2020-06-21,1407.39,750
39495715,2019-07-19,2020-07-18,1459.62,375
64840478,2017-03-04,2018-03-04,1609.97,375
30541131,2017-04-19,2018-04-19,1273.89,500
51503228,2019-04-25,2020-04-24,1779.07,375
57959733,2016-08-14,2017-08-14,1182.47,1100
82415154,2019-02-20,2020-02-20,1912.56,750
67861420,2016-09-10,2017-09-10,1332.93,500
16811546,2017-02-28,2018-02-28,1216.7,1000
74840885,2016-04-20,2017-04-20,1354.67,850
95719884,2015-03-21,2016-03-20,1003.15,250
22856223,2018-07-04,2019-07-04,1578.54,850
26965990,2017-03-07,2018-03-07,1313.83,750
48447568,2016-08-15,2017-08-15,1743.83,750
